Episódio,Iterações,Score final
1,39,-3
2,18,63
1,25,43
2,51,-35
3,18,65
4,21,56
5,19,61
6,32,22
7,51,-150
1,24,42
2,31,29
3,35,15
4,22,54
5,51,-39
6,51,-38
7,51,-35
8,51,-33
9,37,4
10,51,-40
11,28,34
12,24,46
13,16,75
14,51,-34
15,51,-37
1,51,-35
2,18,64
3,19,61
4,51,-31
5,51,-150
